Product_ID,Category,Sub_Category,Brand,Product_Name,Supplier_ID,Status,Hazard_Class,Publisher
PRUS00119,Electronics,Smartphones,Google,Google Model 188,SUS02427,Active,Non-Hazardous,CRM
PRUS00120,Appliances,Washing Machines,Maytag,Maytag Model 978,SUS07150,Active,Non-Hazardous,Web
PRUS00121,Appliances,Washing Machines,Whirlpool,Whirlpool Model 449,SUS06164,Active,Non-Hazardous,CRM
PRUS00122,Appliances,Washing Machines,Whirlpool,Whirlpool Model 259,SUS06000,Active,Non-Hazardous,Web
PRUS00123,Appliances,Washing Machines,Whirlpool,Whirlpool Model 174,SUS06166,Active,Non-Hazardous,CRM
PRUS00124,Appliances,Washing Machines,Whirlpool,Whirlpool Model 412,SUS05153,Active,Non-Hazardous,Web
PRUS00125,Appliances,Refrigerators,Whirlpool,Whirlpool Model 646,SUS04150,Active,Non-Hazardous,CRM
PRUS00126,Appliances,Washing Machines,Whirlpool,Whirlpool Model 308,SUS05012,Active,Non-Hazardous,Web
PRUS00127,Appliances,Refrigerators,Whirlpool,Whirlpool Model 280,SUS05094,Active,Non-Hazardous,ERP
PRUS00128,Appliances,Washing Machines,LG,LG Model 421,SUS01155,Active,Non-Hazardous,CRM
PRUS00129,Electronics,Laptops,Dell,Dell Model 825,SUS08538,Active,Non-Hazardous,ERP
PRUS00130,Electronics,Laptops,HP,HP Model 511,SUS00955,Active,Non-Hazardous,ERP
PRUS00131,Appliances,Refrigerators,Whirlpool,Whirlpool Model 961,SUS03548,Active,Non-Hazardous,CRM
PRUS00132,Appliances,Washing Machines,Maytag,Maytag Model 918,SUS09193,Active,Non-Hazardous,ERP
PRUS00133,Electronics,Laptops,Lenovo,Lenovo Model 323,SUS06674,Active,Non-Hazardous,Web
PRUS00134,Electronics,Smartphones,Google,Google Model 135,SUS00579,Active,Non-Hazardous,Web
PRUS00135,Electronics,Smartphones,Samsung,Samsung Model 366,SUS05828,Active,Non-Hazardous,CRM
PRUS00136,Electronics,Smartphones,Apple,Apple Model 289,SUS06491,Active,Non-Hazardous,CRM
PRUS00137,Electronics,Laptops,Dell,Dell Model 923,SUS05641,Active,Non-Hazardous,ERP
PRUS00138,Electronics,Laptops,Lenovo,Lenovo Model 602,SUS00027,Active,Non-Hazardous,ERP
PRUS00139,Electronics,Smartphones,Apple,Apple Model 482,SUS06034,Active,Non-Hazardous,Web
PRUS00140,Electronics,Laptops,HP,HP Model 990,SUS04208,Active,Non-Hazardous,Web
PRUS00141,Electronics,Laptops,Lenovo,Lenovo Model 951,SUS03051,Active,Non-Hazardous,ERP
PRUS00142,Electronics,Laptops,Dell,Dell Model 888,SUS04398,Active,Non-Hazardous,ERP
PRUS00143,Appliances,Refrigerators,Whirlpool,Whirlpool Model 998,SUS00508,Active,Non-Hazardous,Web
PRUS00144,Electronics,Laptops,HP,HP Model 293,SUS00169,Active,Non-Hazardous,CRM
PRUS00145,Appliances,Refrigerators,GE,GE Model 639,SUS02454,Active,Non-Hazardous,ERP
PRUS00146,Appliances,Refrigerators,LG,LG Model 532,SUS07907,Active,Non-Hazardous,Web
PRUS00147,Electronics,Laptops,Lenovo,Lenovo Model 198,SUS09489,Active,Non-Hazardous,ERP
PRUS00148,Appliances,Washing Machines,Maytag,Maytag Model 976,SUS02059,Active,Non-Hazardous,CRM
PRUS00149,Electronics,Laptops,Dell,Dell Model 638,SUS09580,Active,Non-Hazardous,ERP
PRUS00150,Electronics,Smartphones,Samsung,Samsung Model 698,SUS06117,Active,Non-Hazardous,ERP
PRUS00151,Electronics,Smartphones,Samsung,Samsung Model 193,SUS00392,Active,Non-Hazardous,Web
PRUS00152,Appliances,Washing Machines,LG,LG Model 334,SUS04349,Active,Non-Hazardous,ERP
PRUS00153,Electronics,Smartphones,Google,Google Model 251,SUS07912,Active,Non-Hazardous,CRM
PRUS00154,Electronics,Smartphones,Google,Google Model 107,SUS06381,Active,Non-Hazardous,ERP
PRUS00155,Electronics,Laptops,Dell,Dell Model 615,SUS08575,Active,Non-Hazardous,ERP
PRUS00156,Appliances,Washing Machines,Whirlpool,Whirlpool Model 328,SUS00560,Active,Non-Hazardous,CRM
PRUS00157,Electronics,Smartphones,Apple,Apple Model 756,SUS04761,Active,Non-Hazardous,CRM
PRUS00158,Electronics,Smartphones,Google,Google Model 199,SUS00242,Active,Non-Hazardous,ERP
PRUS00159,Electronics,Laptops,Lenovo,Lenovo Model 404,SUS09271,Active,Non-Hazardous,ERP
PRUS00160,Appliances,Washing Machines,Whirlpool,Whirlpool Model 551,SUS00620,Active,Non-Hazardous,CRM
PRUS00161,Appliances,Refrigerators,LG,LG Model 616,SUS07818,Active,Non-Hazardous,ERP
PRUS00162,Appliances,Refrigerators,GE,GE Model 355,SUS01268,Active,Non-Hazardous,ERP
PRUS00163,Electronics,Laptops,Dell,Dell Model 772,SUS01137,Active,Non-Hazardous,CRM
PRUS00164,Electronics,Smartphones,Google,Google Model 728,SUS09300,Active,Non-Hazardous,CRM
PRUS00165,Electronics,Smartphones,Apple,Apple Model 677,SUS05590,Active,Non-Hazardous,CRM
PRUS00166,Electronics,Smartphones,Samsung,Samsung Model 572,SUS04378,Active,Non-Hazardous,Web
PRUS00167,Electronics,Smartphones,Samsung,Samsung Model 787,SUS01083,Active,Non-Hazardous,Web
PRUS00168,Appliances,Refrigerators,LG,LG Model 634,SUS05968,Active,Non-Hazardous,CRM
PRUS00169,Appliances,Refrigerators,GE,GE Model 178,SUS06132,Active,Non-Hazardous,ERP
PRUS00170,Electronics,Smartphones,Samsung,Samsung Model 791,SUS07061,Active,Non-Hazardous,Web
PRUS00171,Appliances,Refrigerators,LG,LG Model 300,SUS05829,Active,Non-Hazardous,Web
PRUS00172,Appliances,Washing Machines,LG,LG Model 134,SUS08955,Active,Non-Hazardous,CRM
PRUS00173,Electronics,Laptops,Lenovo,Lenovo Model 399,SUS07844,Active,Non-Hazardous,CRM
PRUS00174,Electronics,Laptops,Lenovo,Lenovo Model 646,SUS01456,Active,Non-Hazardous,CRM
PRUS00175,Electronics,Smartphones,Google,Google Model 130,SUS04760,Active,Non-Hazardous,Web
PRUS00176,Appliances,Refrigerators,Whirlpool,Whirlpool Model 885,SUS00658,Active,Non-Hazardous,Web
PRUS00177,Appliances,Washing Machines,Whirlpool,Whirlpool Model 912,SUS02642,Active,Non-Hazardous,CRM
PRUS00178,Electronics,Laptops,Lenovo,Lenovo Model 688,SUS06124,Active,Non-Hazardous,ERP
PRUS00179,Electronics,Smartphones,Samsung,Samsung Model 245,SUS08109,Active,Non-Hazardous,Web
PRUS00180,Appliances,Washing Machines,Whirlpool,Whirlpool Model 536,SUS08621,Active,Non-Hazardous,Web
PRUS00181,Appliances,Refrigerators,GE,GE Model 531,SUS05467,Active,Non-Hazardous,ERP
PRUS00182,Electronics,Smartphones,Samsung,Samsung Model 813,SUS01118,Active,Non-Hazardous,Web
PRUS00183,Electronics,Laptops,Lenovo,Lenovo Model 600,SUS04828,Active,Non-Hazardous,ERP
PRUS00184,Appliances,Washing Machines,LG,LG Model 177,SUS00321,Active,Non-Hazardous,CRM
PRUS00185,Appliances,Refrigerators,Whirlpool,Whirlpool Model 684,SUS06731,Active,Non-Hazardous,CRM
PRUS00186,Appliances,Washing Machines,Maytag,Maytag Model 249,SUS00059,Active,Non-Hazardous,ERP
PRUS00187,Electronics,Laptops,Dell,Dell Model 109,SUS09032,Active,Non-Hazardous,ERP
PRUS00188,Electronics,Smartphones,Google,Google Model 933,SUS00393,Active,Non-Hazardous,Web
PRUS00189,Appliances,Washing Machines,Whirlpool,Whirlpool Model 178,SUS01086,Active,Non-Hazardous,ERP
PRUS00190,Appliances,Washing Machines,Maytag,Maytag Model 158,SUS06289,Active,Non-Hazardous,CRM
PRUS00191,Appliances,Washing Machines,Maytag,Maytag Model 445,SUS01034,Active,Non-Hazardous,Web
PRUS00192,Appliances,Washing Machines,LG,LG Model 950,SUS08775,Active,Non-Hazardous,CRM
PRUS00193,Electronics,Smartphones,Apple,Apple Model 865,SUS00182,Active,Non-Hazardous,ERP
PRUS00194,Appliances,Refrigerators,Whirlpool,Whirlpool Model 332,SUS03776,Active,Non-Hazardous,Web
PRUS00195,Electronics,Smartphones,Google,Google Model 246,SUS02408,Active,Non-Hazardous,ERP
PRUS00196,Appliances,Refrigerators,GE,GE Model 273,SUS03514,Active,Non-Hazardous,ERP
PRUS00197,Appliances,Washing Machines,LG,LG Model 828,SUS09674,Active,Non-Hazardous,Web
PRUS00198,Appliances,Refrigerators,GE,GE Model 468,SUS00667,Active,Non-Hazardous,CRM
PRUS00199,Appliances,Washing Machines,LG,LG Model 477,SUS00298,Active,Non-Hazardous,CRM
PRUS00200,Electronics,Laptops,Lenovo,Lenovo Model 170,SUS03113,Active,Non-Hazardous,Web
PRUS00201,Electronics,Laptops,Lenovo,Lenovo Model 927,SUS01223,Active,Non-Hazardous,ERP
PRUS00202,Electronics,Laptops,HP,HP Model 770,SUS04415,Active,Non-Hazardous,Web
PRUS00203,Electronics,Laptops,HP,HP Model 934,SUS08003,Active,Non-Hazardous,ERP
PRUS00204,Appliances,Refrigerators,LG,LG Model 220,SUS01383,Active,Non-Hazardous,ERP
PRUS00205,Appliances,Refrigerators,LG,LG Model 530,SUS09727,Active,Non-Hazardous,ERP
PRUS00206,Appliances,Refrigerators,GE,GE Model 839,SUS03430,Active,Non-Hazardous,ERP
PRUS00207,Electronics,Laptops,Dell,Dell Model 141,SUS03921,Active,Non-Hazardous,CRM
PRUS00208,Appliances,Washing Machines,Whirlpool,Whirlpool Model 567,SUS08476,Active,Non-Hazardous,Web
PRUS00209,Electronics,Laptops,Dell,Dell Model 577,SUS00712,Active,Non-Hazardous,ERP
PRUS00210,Appliances,Refrigerators,GE,GE Model 441,SUS03594,Active,Non-Hazardous,Web
PRUS00211,Appliances,Refrigerators,Whirlpool,Whirlpool Model 447,SUS09763,Active,Non-Hazardous,ERP
PRUS00212,Electronics,Laptops,Dell,Dell Model 995,SUS05826,Active,Non-Hazardous,Web
PRUS00213,Appliances,Washing Machines,LG,LG Model 717,SUS00664,Active,Non-Hazardous,CRM
PRUS00214,Electronics,Smartphones,Google,Google Model 339,SUS07601,Active,Non-Hazardous,CRM
PRUS00215,Appliances,Washing Machines,LG,LG Model 996,SUS08557,Active,Non-Hazardous,ERP
PRUS00216,Appliances,Refrigerators,GE,GE Model 319,SUS00985,Active,Non-Hazardous,Web
PRUS00217,Appliances,Washing Machines,Maytag,Maytag Model 952,SUS07722,Active,Non-Hazardous,ERP
PRUS00218,Electronics,Smartphones,Samsung,Samsung Model 330,SUS02274,Active,Non-Hazardous,CRM
PRUS00219,Appliances,Refrigerators,LG,LG Model 844,SUS01680,Active,Non-Hazardous,Web
PRUS00220,Appliances,Refrigerators,LG,LG Model 290,SUS09491,Active,Fragile,CRM
PRUS00221,Electronics,Laptops,Dell,Dell Model 679,SUS01577,Active,Fragile,Web
PRUS00222,Appliances,Washing Machines,Whirlpool,Whirlpool Model 437,SUS02337,Active,Fragile,CRM
PRUS00223,Appliances,Refrigerators,LG,LG Model 399,SUS04038,Active,Fragile,CRM
PRUS00224,Electronics,Laptops,HP,HP Model 940,SUS09095,Active,Fragile,CRM
PRUS00225,Electronics,Laptops,Lenovo,Lenovo Model 226,SUS04173,Active,Fragile,Web
PRUS00226,Electronics,Laptops,HP,HP Model 101,SUS02786,Active,Fragile,ERP
PRUS00227,Electronics,Smartphones,Samsung,Samsung Model 412,SUS09012,Active,Fragile,CRM
PRUS00228,Electronics,Smartphones,Google,Google Model 238,SUS06594,Active,Fragile,Web
PRUS00229,Electronics,Smartphones,Apple,Apple Model 611,SUS09359,Active,Fragile,ERP
PRUS00230,Appliances,Washing Machines,Whirlpool,Whirlpool Model 573,SUS07623,Active,Fragile,Web
PRUS00231,Electronics,Laptops,Lenovo,Lenovo Model 621,SUS08196,Active,Fragile,ERP
PRUS00232,Appliances,Washing Machines,LG,LG Model 810,SUS01402,Active,Fragile,Web
PRUS00233,Appliances,Refrigerators,Whirlpool,Whirlpool Model 297,SUS07296,Active,Fragile,CRM
PRUS00234,Appliances,Washing Machines,Maytag,Maytag Model 392,SUS04095,Active,Fragile,CRM
PRUS00235,Appliances,Washing Machines,Maytag,Maytag Model 462,SUS05913,Active,Fragile,CRM
PRUS00236,Appliances,Refrigerators,LG,LG Model 138,SUS00638,Active,Fragile,CRM
PRUS00237,Appliances,Refrigerators,LG,LG Model 271,SUS00771,Active,Fragile,CRM
PRUS00238,Electronics,Laptops,Dell,Dell Model 549,SUS02029,Active,Fragile,Web
PRUS00239,Appliances,Washing Machines,Maytag,Maytag Model 289,SUS09235,Active,Fragile,Web
PRUS00240,Electronics,Laptops,Lenovo,Lenovo Model 551,SUS09476,Active,Fragile,CRM
PRUS00241,Appliances,Washing Machines,Whirlpool,Whirlpool Model 473,SUS04049,Active,Fragile,ERP
PRUS00242,Appliances,Washing Machines,LG,LG Model 710,SUS08679,Active,Fragile,ERP
PRUS00243,Electronics,Smartphones,Google,Google Model 211,SUS05370,Active,Fragile,CRM
PRUS00244,Electronics,Laptops,Lenovo,Lenovo Model 321,SUS01856,Active,Fragile,ERP
PRUS00245,Appliances,Washing Machines,Maytag,Maytag Model 946,SUS05364,Active,Fragile,CRM
PRUS00246,Appliances,Washing Machines,LG,LG Model 394,SUS03341,Active,Fragile,Web
PRUS00247,Appliances,Refrigerators,Whirlpool,Whirlpool Model 415,SUS09440,Active,Fragile,CRM
PRUS00248,Appliances,Washing Machines,Maytag,Maytag Model 582,SUS00313,Active,Fragile,CRM
PRUS00249,Electronics,Laptops,Dell,Dell Model 506,SUS01275,Active,Fragile,Web
PRUS00250,Electronics,Smartphones,Apple,Apple Model 532,SUS07553,Active,Fragile,ERP
PRUS00251,Appliances,Refrigerators,LG,LG Model 636,SUS09313,Active,Fragile,CRM
PRUS00252,Appliances,Washing Machines,Maytag,Maytag Model 737,SUS08299,Active,Fragile,ERP
PRUS00253,Appliances,Refrigerators,Whirlpool,Whirlpool Model 237,SUS02296,Active,Fragile,Web
PRUS00254,Electronics,Laptops,Dell,Dell Model 938,SUS09160,Active,Fragile,ERP
PRUS00255,Appliances,Refrigerators,LG,LG Model 893,SUS08631,Active,Fragile,CRM
PRUS00256,Appliances,Washing Machines,Whirlpool,Whirlpool Model 902,SUS04965,Active,Fragile,Web
PRUS00257,Appliances,Washing Machines,LG,LG Model 325,SUS05727,Active,Fragile,CRM
PRUS00258,Electronics,Smartphones,Google,Google Model 794,SUS02502,Active,Fragile,Web
PRUS00259,Electronics,Smartphones,Apple,Apple Model 512,SUS07350,Active,Fragile,ERP
PRUS00260,Appliances,Washing Machines,LG,LG Model 562,SUS01912,Active,Fragile,Web
PRUS00261,Electronics,Smartphones,Samsung,Samsung Model 360,SUS01398,Active,Fragile,CRM
PRUS00262,Electronics,Smartphones,Samsung,Samsung Model 878,SUS04575,Active,Fragile,Web
PRUS00263,Electronics,Smartphones,Apple,Apple Model 868,SUS08124,Active,Fragile,Web
PRUS00264,Electronics,Smartphones,Apple,Apple Model 804,SUS06928,Active,Fragile,ERP
PRUS00265,Electronics,Laptops,Lenovo,Lenovo Model 781,SUS08079,Active,Fragile,ERP
PRUS00266,Electronics,Smartphones,Google,Google Model 709,SUS02061,Active,Fragile,Web
PRUS00267,Appliances,Washing Machines,LG,LG Model 761,SUS06692,Active,Fragile,CRM
