Inventory_ID,Product_ID,Warehouse_ID,Quantity
IUS0264,PRUS02773,WUS00008,237.0
IUS0265,PRUS03331,WUS00009,132.0
IUS0266,PRUS07951,WUS00010,377.0
IUS0267,PRUS08312,WUS00011,365.0
IUS0268,PRUS06043,WUS00012,447.0
IUS0269,PRUS00657,WUS00013,484.0
IUS0270,PRUS03325,WUS00014,387.0
IUS0271,PRUS00770,WUS00015,428.0
IUS0272,PRUS01075,WUS00016,479.0
IUS0273,PRUS04024,WUS00001,449.0
IUS0274,PRUS08654,WUS00002,384.0
IUS0275,PRUS02472,WUS00003,482.0
IUS0276,PRUS05862,WUS00004,82.0
IUS0277,PRUS05075,WUS00005,116.0
IUS0278,PRUS09689,WUS00006,21.0
IUS0279,PRUS07862,WUS00007,453.0
IUS0280,PRUS04283,WUS00008,8.0
IUS0281,PRUS07295,WUS00009,440.0
IUS0282,PRUS06475,WUS00010,500.0
IUS0283,PRUS06780,WUS00011,334.0
IUS0284,PRUS04942,WUS00012,309.0
IUS0285,PRUS09431,WUS00013,450.0
IUS0286,PRUS09087,WUS00014,94.0
IUS0287,PRUS06780,WUS00015,119.0
IUS0288,PRUS04848,WUS00016,148.0
IUS0289,PRUS09708,WUS00001,13.0
IUS0290,PRUS02869,WUS00002,318.0
IUS0291,PRUS05538,WUS00003,394.0
IUS0292,PRUS00466,WUS00004,117.0
IUS0293,PRUS00346,WUS00005,489.0
IUS0294,PRUS05873,WUS00006,179.0
IUS0295,PRUS09375,WUS00007,6.0
IUS0296,PRUS01906,WUS00008,60.0
IUS0297,PRUS01409,WUS00009,41.0
IUS0298,PRUS03464,WUS00010,197.0
IUS0299,PRUS03373,WUS00011,60.0
IUS0300,PRUS05914,WUS00012,12.0
IUS0301,PRUS09734,WUS00013,132.0
IUS0302,PRUS01762,WUS00014,49.0
IUS0303,PRUS09519,WUS00015,158.0
IUS0304,PRUS09940,WUS00016,115.0
IUS0305,PRUS09705,WUS00001,82.0
IUS0306,PRUS00161,WUS00002,344.0
IUS0307,PRUS04346,WUS00003,300.0
IUS0308,PRUS01472,WUS00004,6.0
IUS0309,PRUS09912,WUS00005,345.0
IUS0310,PRUS07603,WUS00006,208.0
IUS0311,PRUS06108,WUS00007,19.0
IUS0312,PRUS04425,WUS00008,94.0
IUS0313,PRUS09648,WUS00009,424.0
IUS0314,PRUS04862,WUS00010,290.0
IUS0315,PRUS02621,WUS00011,324.0
IUS0316,PRUS06399,WUS00012,394.0
IUS0317,PRUS06509,WUS00013,106.0
IUS0318,PRUS08175,WUS00014,13.0
IUS0319,PRUS06608,WUS00015,195.0
IUS0320,PRUS00655,WUS00016,408.0
IUS0321,PRUS06683,WUS00001,461.0
IUS0322,PRUS02505,WUS00002,270.0
IUS0323,PRUS04458,WUS00003,347.0
IUS0324,PRUS06800,WUS00004,497.0
IUS0325,PRUS09213,WUS00005,238.0
IUS0326,PRUS04956,WUS00006,413.0
IUS0327,PRUS02386,WUS00007,347.0
IUS0328,PRUS04539,WUS00008,421.0
IUS0329,PRUS03430,WUS00009,96.0
IUS0330,PRUS09580,WUS00010,133.0
IUS0331,PRUS00203,WUS00011,77.0
IUS0332,PRUS06182,WUS00012,495.0
IUS0333,PRUS06381,WUS00013,477.0
IUS0334,PRUS00129,WUS00014,415.0
IUS0335,PRUS07552,WUS00015,1.0
IUS0336,PRUS07703,WUS00016,451.0
IUS0337,PRUS01151,WUS00001,305.0
IUS0338,PRUS09116,WUS00002,220.0
IUS0339,PRUS04048,WUS00003,416.0
IUS0340,PRUS06820,WUS00004,80.0
IUS0341,PRUS07434,WUS00005,177.0
IUS0342,PRUS08717,WUS00006,101.0
IUS0343,PRUS06008,WUS00007,38.0
IUS0344,PRUS04712,WUS00008,374.0
IUS0345,PRUS07607,WUS00009,34.0
IUS0346,PRUS03850,WUS00010,404.0
IUS0347,PRUS03074,WUS00011,147.0
IUS0348,PRUS05946,WUS00012,252.55
IUS0349,PRUS01380,WUS00013,346.0
IUS0350,PRUS09592,WUS00014,203.0
IUS0351,PRUS01700,WUS00015,323.0
IUS0352,PRUS03512,WUS00016,491.0
IUS0353,PRUS01864,WUS00001,436.0
IUS0354,PRUS03438,WUS00002,452.0
IUS0355,PRUS07219,WUS00003,162.0
IUS0356,PRUS05202,WUS00004,360.0
IUS0357,PRUS03073,WUS00005,313.0
IUS0358,PRUS00368,WUS00006,190.0
IUS0359,PRUS00185,WUS00007,163.0
IUS0360,PRUS03671,WUS00008,233.0
IUS0361,PRUS09342,WUS00009,321.0
IUS0362,PRUS02742,WUS00010,366.0
IUS0363,PRUS07871,WUS00011,65.0
IUS0364,PRUS07834,WUS00012,489.0
IUS0365,PRUS09507,WUS00013,27.0
IUS0366,PRUS07864,WUS00014,316.0
IUS0367,PRUS09963,WUS00015,445.0
IUS0368,PRUS08081,WUS00016,261.0
IUS0369,PRUS07331,WUS00001,435.0
IUS0370,PRUS05821,WUS00002,400.0
IUS0371,PRUS02596,WUS00003,257.0
IUS0372,PRUS00195,WUS00004,261.0
IUS0373,PRUS02750,WUS00005,240.0
IUS0374,PRUS07133,WUS00006,29.0
IUS0375,PRUS05993,WUS00007,389.0
IUS0376,PRUS09076,WUS00008,245.0
IUS0377,PRUS07647,WUS00009,381.0
IUS0378,PRUS02175,WUS00010,144.0
IUS0379,PRUS07438,WUS00011,469.0
IUS0380,PRUS03091,WUS00012,158.0
IUS0381,PRUS08893,WUS00013,403.0
IUS0382,PRUS04268,WUS00014,37.0
IUS0383,PRUS04214,WUS00015,244.0
IUS0384,PRUS03872,WUS00016,123.0
IUS0385,PRUS05583,WUS00001,181.0
IUS0386,PRUS09797,WUS00002,19.0
IUS0387,PRUS08104,WUS00003,422.0
IUS0388,PRUS03267,WUS00004,115.0
IUS0389,PRUS07666,WUS00005,10.0
IUS0390,PRUS06976,WUS00006,179.0
IUS0391,PRUS06005,WUS00007,46.0
IUS0392,PRUS00573,WUS00008,402.0
IUS0393,PRUS02414,WUS00009,495.0
IUS0394,PRUS04511,WUS00010,106.0
IUS0395,PRUS07147,WUS00011,484.0
IUS0396,PRUS03619,WUS00012,433.0
IUS0397,PRUS02330,WUS00013,260.0
IUS0398,PRUS09669,WUS00014,494.0
IUS0399,PRUS04413,WUS00015,42.0
IUS0400,PRUS03049,WUS00016,290.0
IUS0401,PRUS00450,WUS00001,72.0
IUS0402,PRUS00604,WUS00002,270.0
IUS0403,PRUS06448,WUS00003,332.0
IUS0404,PRUS01694,WUS00004,120.0
IUS0405,PRUS03829,WUS00005,473.0
IUS0406,PRUS09576,WUS00006,233.0
IUS0407,PRUS05094,WUS00007,112.0
IUS0408,PRUS01045,WUS00008,93.0
IUS0409,PRUS03294,WUS00009,191.0
IUS0410,PRUS05806,WUS00010,158.0
IUS0411,PRUS02349,WUS00011,296.0
IUS0412,PRUS05650,WUS00012,351.0
IUS0413,PRUS01925,WUS00013,393.0
IUS0414,PRUS07382,WUS00014,339.0
IUS0415,PRUS08512,WUS00015,131.0
IUS0416,PRUS08071,WUS00016,150.0
IUS0417,PRUS08775,WUS00001,499.0
IUS0418,PRUS02971,WUS00002,358.0
IUS0419,PRUS08262,WUS00003,210.0
IUS0420,PRUS02598,WUS00004,212.0
IUS0421,PRUS01106,WUS00005,31.0
IUS0422,PRUS05564,WUS00006,149.0
IUS0423,PRUS06264,WUS00007,219.0
IUS0424,PRUS09871,WUS00008,314.0
IUS0425,PRUS07277,WUS00009,146.0
IUS0426,PRUS07355,WUS00010,191.0
IUS0427,PRUS06023,WUS00011,205.0
IUS0428,PRUS05503,WUS00012,389.0
IUS0429,PRUS03780,WUS00013,453.0
IUS0430,PRUS08113,WUS00014,124.0
IUS0431,PRUS09620,WUS00015,446.0
IUS0432,PRUS07535,WUS00016,227.0
IUS0433,PRUS08520,WUS00001,407.0
IUS0434,PRUS07969,WUS00002,413.0
IUS0435,PRUS04078,WUS00003,418.0
IUS0436,PRUS04051,WUS00004,63.0
IUS0437,PRUS02516,WUS00005,60.0
IUS0438,PRUS00507,WUS00006,249.0
IUS0439,PRUS00152,WUS00007,189.0
IUS0440,PRUS04147,WUS00008,297.0
IUS0441,PRUS03956,WUS00009,328.0
IUS0442,PRUS00668,WUS00010,176.0
IUS0443,PRUS05883,WUS00011,477.0
IUS0444,PRUS07134,WUS00012,377.0
IUS0445,PRUS09799,WUS00013,121.0
IUS0446,PRUS03815,WUS00014,237.0
IUS0447,PRUS08796,WUS00015,194.0
IUS0448,PRUS00437,WUS00016,258.0
IUS0449,PRUS05472,WUS00001,212.0
IUS0450,PRUS06249,WUS00002,158.0
IUS0451,PRUS03408,WUS00003,462.0
IUS0452,PRUS00502,WUS00004,487.0
IUS0453,PRUS01349,WUS00005,286.0
IUS0454,PRUS04263,WUS00006,9.0
IUS0455,PRUS04243,WUS00007,259.0
IUS0456,PRUS02818,WUS00008,331.0
IUS0457,PRUS04515,WUS00009,357.0
IUS0458,PRUS01260,WUS00010,373.0
IUS0459,PRUS09823,WUS00011,54.0
IUS0460,PRUS08896,WUS00012,367.0
IUS0461,PRUS06957,WUS00013,381.0
IUS0462,PRUS00472,WUS00014,120.0
IUS0463,PRUS07831,WUS00015,122.0
IUS0464,PRUS05933,WUS00016,90.0
IUS0465,PRUS06594,WUS00001,114.0
IUS0466,PRUS08813,WUS00002,432.0
IUS0467,PRUS00036,WUS00003,200.0
IUS0468,PRUS04873,WUS00004,366.0
IUS0469,PRUS07230,WUS00005,463.0
IUS0470,PRUS06024,WUS00006,256.0
IUS0471,PRUS00409,WUS00007,210.0
IUS0472,PRUS04605,WUS00008,12.0
IUS0473,PRUS02092,WUS00009,224.0
IUS0474,PRUS04589,WUS00010,223.0
IUS0475,PRUS04328,WUS00011,194.0
IUS0476,PRUS05100,WUS00012,184.0
IUS0477,PRUS00791,WUS00013,277.0
IUS0478,PRUS00641,WUS00014,71.0
IUS0479,PRUS05986,WUS00015,450.0
IUS0480,PRUS09657,WUS00016,286.0
IUS0481,PRUS06981,WUS00001,320.0
IUS0482,PRUS00657,WUS00002,346.0
IUS0483,PRUS07284,WUS00003,149.0
IUS0484,PRUS00946,WUS00004,271.0
IUS0485,PRUS06846,WUS00005,239.0
IUS0486,PRUS02470,WUS00006,10.0
IUS0487,PRUS06010,WUS00007,228.0
IUS0488,PRUS01009,WUS00008,295.0
IUS0489,PRUS04673,WUS00009,373.0
IUS0490,PRUS03819,WUS00010,472.0
IUS0491,PRUS06779,WUS00011,24.0
IUS0492,PRUS04688,WUS00012,65.0
IUS0493,PRUS06131,WUS00013,426.0
IUS0494,PRUS08174,WUS00014,486.0
IUS0495,PRUS08382,WUS00015,411.0
IUS0496,PRUS09301,WUS00016,86.0
IUS0497,PRUS06926,WUS00001,404.0
IUS0498,PRUS09689,WUS00002,149.0
IUS0499,PRUS05780,WUS00003,262.0
IUS0500,PRUS06977,WUS00004,242.0
IUS0501,PRUS09748,WUS00005,212.0
IUS0502,PRUS07140,WUS00006,12.0
IUS0503,PRUS04695,WUS00007,303.0
IUS0504,PRUS06541,WUS00008,462.0
IUS0505,PRUS04121,WUS00009,185.0
IUS0506,PRUS01385,WUS00010,399.0
IUS0507,PRUS02862,WUS00011,397.0
IUS0508,PRUS02579,WUS00012,329.0
IUS0509,PRUS00868,WUS00013,63.0
IUS0510,PRUS00213,WUS00014,317.0
IUS0511,PRUS06580,WUS00015,252.0
IUS0512,PRUS04486,WUS00016,279.0
IUS0513,PRUS05589,WUS00001,157.0
IUS0514,PRUS04987,WUS00002,328.0
IUS0515,PRUS07902,WUS00003,189.0
IUS0516,PRUS06179,WUS00004,63.0
IUS0517,PRUS08589,WUS00005,181.0
IUS0518,PRUS09680,WUS00006,162.0
IUS0519,PRUS06691,WUS00007,398.0
IUS0520,PRUS06756,WUS00008,434.0
IUS0521,PRUS00308,WUS00009,429.0
IUS0522,PRUS09448,WUS00010,398.0
IUS0523,PRUS02634,WUS00011,135.0
IUS0524,PRUS04701,WUS00012,179.0
IUS0525,PRUS09314,WUS00013,424.0
IUS0526,PRUS04326,WUS00014,185.0
IUS0527,PRUS02030,WUS00015,35.0
IUS0528,PRUS01495,WUS00016,434.0
IUS0529,PRUS06792,WUS00001,282.0
IUS0530,PRUS06300,WUS00002,57.0
IUS0531,PRUS03176,WUS00003,481.0
IUS0532,PRUS02562,WUS00004,101.0
IUS0533,PRUS07897,WUS00005,422.0
IUS0534,PRUS09955,WUS00006,443.0
IUS0535,PRUS07252,WUS00007,216.0
IUS0536,PRUS06106,WUS00008,286.0
IUS0537,PRUS00875,WUS00009,356.0
IUS0538,PRUS01661,WUS00010,413.0
IUS0539,PRUS03073,WUS00011,221.0
IUS0540,PRUS07042,WUS00012,144.0
IUS0541,PRUS07115,WUS00013,187.0
IUS0542,PRUS00634,WUS00014,8.0
IUS0543,PRUS05196,WUS00015,102.0
IUS0544,PRUS08657,WUS00016,185.0
IUS0545,PRUS00088,WUS00001,21.0
IUS0546,PRUS06342,WUS00002,97.0
IUS0547,PRUS01061,WUS00003,102.0
IUS0548,PRUS04178,WUS00004,113.0
IUS0549,PRUS08137,WUS00005,32.0
IUS0550,PRUS02695,WUS00006,8.0
IUS0551,PRUS04860,WUS00007,460.0
IUS0552,PRUS08135,WUS00008,276.0
IUS0553,PRUS06477,WUS00009,429.0
IUS0554,PRUS09415,WUS00010,365.0
IUS0555,PRUS02495,WUS00011,198.0
IUS0556,PRUS07994,WUS00012,143.0
IUS0557,PRUS01666,WUS00013,432.0
IUS0558,PRUS07817,WUS00014,283.0
IUS0559,PRUS09249,WUS00015,53.0
IUS0560,PRUS09804,WUS00016,437.0
IUS0561,PRUS01537,WUS00001,366.0
IUS0562,PRUS03138,WUS00002,317.0
IUS0563,PRUS04382,WUS00003,172.0
IUS0564,PRUS06514,WUS00004,459.0
IUS0565,PRUS09944,WUS00005,482.0
IUS0566,PRUS08080,WUS00006,174.0
IUS0567,PRUS09983,WUS00007,61.0
IUS0568,PRUS03161,WUS00008,496.0
IUS0569,PRUS02819,WUS00009,11.0
IUS0570,PRUS00884,WUS00010,408.0
IUS0571,PRUS04347,WUS00011,107.0
IUS0572,PRUS00013,WUS00012,308.0
IUS0573,PRUS08059,WUS00013,394.0
IUS0574,PRUS03764,WUS00014,189.0
IUS0575,PRUS07355,WUS00015,307.0
IUS0576,PRUS09164,WUS00016,239.0
IUS0577,PRUS05053,WUS00001,303.0
IUS0578,PRUS02058,WUS00002,449.0
IUS0579,PRUS07974,WUS00003,279.0
IUS0580,PRUS08766,WUS00004,122.0
IUS0581,PRUS02356,WUS00005,462.0
IUS0582,PRUS06309,WUS00006,303.0
IUS0583,PRUS00116,WUS00007,306.0
IUS0584,PRUS01087,WUS00008,35.0
IUS0585,PRUS05049,WUS00009,174.0
IUS0586,PRUS03265,WUS00010,368.0
IUS0587,PRUS07444,WUS00011,167.0
IUS0588,PRUS04635,WUS00012,88.0
IUS0589,PRUS09636,WUS00013,220.0
IUS0590,PRUS02093,WUS00014,73.0
IUS0591,PRUS09948,WUS00015,123.0
IUS0592,PRUS09973,WUS00016,153.0
IUS0593,PRUS05563,WUS00001,463.0
IUS0594,PRUS01303,WUS00002,499.0
IUS0595,PRUS01860,WUS00003,420.0
IUS0596,PRUS04917,WUS00004,376.0
IUS0597,PRUS00629,WUS00005,79.0
IUS0598,PRUS04192,WUS00006,161.0
IUS0599,PRUS00434,WUS00007,288.0
IUS0600,PRUS04192,WUS00008,340.0
IUS0601,PRUS04212,WUS00009,462.0
IUS0602,PRUS06163,WUS00010,14.0
IUS0603,PRUS00142,WUS00011,163.0
IUS0604,PRUS02943,WUS00012,199.0
IUS0605,PRUS04673,WUS00013,365.0
IUS0606,PRUS09464,WUS00014,203.0
